custID2	custName2	Textbox11	Textbox14	Group1	Textbox37	Textbox38	meternum	datetimeread	kwh	kw
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		12:15 AM	54	210
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		12:30 AM	52	212
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		12:45 AM	52	208
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:00 AM	50	204
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:15 AM	55	210
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:30 AM	54	218
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		1:45 AM	53	214
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:00 AM	50	206
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:15 AM	54	208
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:30 AM	52	212
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		2:45 AM	52	208
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:00 AM	52	208
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:15 AM	54	212
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:30 AM	53	214
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		3:45 AM	52	210
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:00 AM	54	212
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:15 AM	51	210
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:30 AM	56	214
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		4:45 AM	56	224
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:00 AM	51	214
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:15 AM	56	214
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:30 AM	51	214
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		5:45 AM	62	226
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:00 AM	61	246
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:15 AM	73	268
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:30 AM	76	298
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		6:45 AM	77	306
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:00 AM	75	304
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:15 AM	76	302
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:30 AM	79	310
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		7:45 AM	81	320
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:00 AM	83	328
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:15 AM	84	334
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:30 AM	86	340
345P.DB	DEUTSCHE BANK	kWh	KW	6/11/2012	13610	382		8:45 AM	90	352
