345 Park - Electricity - Total		
Date/Time	kW	Status
05/01/2011 00:00	"2,452."	
05/01/2011 00:15	"2,440."	
05/01/2011 00:30	"2,420."	
05/01/2011 00:45	"2,436."	
05/01/2011 01:00	"2,444."	
05/01/2011 01:15	"2,432."	
05/01/2011 01:30	"2,404."	
05/01/2011 01:45	"2,508."	
05/01/2011 02:00	"2,628."	
05/01/2011 02:15	"2,540."	
05/01/2011 02:30	"2,432."	
05/01/2011 02:45	"2,424."	
05/01/2011 03:00	"2,404."	
05/01/2011 03:15	"2,404."	
05/01/2011 03:30	"2,440."	
05/01/2011 03:45	"2,428."	
05/01/2011 04:00	"2,420."	
05/01/2011 04:15	"2,412."	
05/01/2011 04:30	"2,420."	
05/01/2011 04:45	"2,404."	
05/01/2011 05:00	"2,400."	
05/01/2011 05:15	"2,416."	
05/01/2011 05:30	"2,436."	
05/01/2011 05:45	"2,436."	
05/01/2011 06:00	"2,432."	
05/01/2011 06:15	"2,444."	
05/01/2011 06:30	"2,440."	
05/01/2011 06:45	"2,452."	
05/01/2011 07:00	"2,428."	
05/01/2011 07:15	"2,436."	
05/01/2011 07:30	"2,452."	
05/01/2011 07:45	"2,452."	
05/01/2011 08:00	"2,444."	
05/01/2011 08:15	"2,424."	
05/01/2011 08:30	"2,452."	
05/01/2011 08:45	"2,440."	
05/01/2011 09:00	"2,460."	
05/01/2011 09:15	"2,456."	
05/01/2011 09:30	"2,488."	
05/01/2011 09:45	"2,496."	
05/01/2011 10:00	"2,548."	
05/01/2011 10:15	"2,500."	
05/01/2011 10:30	"2,508."	
05/01/2011 10:45	"2,500."	
05/01/2011 11:00	"2,504."	
05/01/2011 11:15	"2,524."	
05/01/2011 11:30	"2,488."	
05/01/2011 11:45	"2,512."	
05/01/2011 12:00	"2,544."	
05/01/2011 12:15	"2,528."	
05/01/2011 12:30	"2,552."	
05/01/2011 12:45	"2,536."	
05/01/2011 13:00	"2,536."	
05/01/2011 13:15	"2,552."	
05/01/2011 13:30	"2,536."	
05/01/2011 13:45	"2,544."	
05/01/2011 14:00	"2,544."	
05/01/2011 14:15	"2,600."	
05/01/2011 14:30	"2,572."	
05/01/2011 14:45	"2,556."	
05/01/2011 15:00	"2,584."	
05/01/2011 15:15	"2,576."	
05/01/2011 15:30	"2,588."	
05/01/2011 15:45	"2,580."	
05/01/2011 16:00	"2,596."	
05/01/2011 16:15	"2,604."	
05/01/2011 16:30	"2,588."	
05/01/2011 16:45	"2,576."	
05/01/2011 17:00	"2,564."	
05/01/2011 17:15	"2,544."	
05/01/2011 17:30	"2,564."	
05/01/2011 17:45	"2,540."	
05/01/2011 18:00	"2,536."	
05/01/2011 18:15	"2,552."	
05/01/2011 18:30	"2,576."	
05/01/2011 18:45	"2,544."	
05/01/2011 19:00	"2,524."	
05/01/2011 19:15	"2,520."	
05/01/2011 19:30	"2,504."	
05/01/2011 19:45	"2,504."	
05/01/2011 20:00	"2,544."	
05/01/2011 20:15	"2,512."	
05/01/2011 20:30	"2,476."	
05/01/2011 20:45	"2,484."	
05/01/2011 21:00	"2,496."	
05/01/2011 21:15	"2,504."	
05/01/2011 21:30	"2,468."	
05/01/2011 21:45	"2,484."	
05/01/2011 22:00	"2,492."	
05/01/2011 22:15	"2,464."	
