40 East 52nd Street - Steam - Total		
Date/Time	MLbs/Hr	Status
11/19/2013 10:30	.28	
11/19/2013 10:45	.32	
11/19/2013 11:00	.28	
11/19/2013 11:15	.28	
11/19/2013 11:30	.28	
11/19/2013 11:45	.28	
11/19/2013 12:00	.32	
11/19/2013 12:15	.32	
11/19/2013 12:30	.32	
11/19/2013 12:45	.32	
11/19/2013 13:00	.36	
11/19/2013 13:15	.36	
11/19/2013 13:30	.32	
11/19/2013 13:45	.32	
11/19/2013 14:00	.32	
11/19/2013 14:15	.32	
11/19/2013 14:30	.28	
11/19/2013 14:45	.32	
11/19/2013 15:00	.28	
11/19/2013 15:15	.36	
11/19/2013 15:30	.32	
11/19/2013 15:45	.32	
11/19/2013 16:00	.36	
11/19/2013 16:15	.28	
11/19/2013 16:30	.32	
11/19/2013 16:45	.36	
11/19/2013 17:00	.32	
11/19/2013 17:15	.36	
11/19/2013 17:30	.32	
11/19/2013 17:45	.36	
11/19/2013 18:00	.32	
11/19/2013 18:15	.56	
11/19/2013 18:30	2.44	
11/19/2013 18:45	.4	
11/19/2013 19:00	.32	
11/19/2013 19:15	.32	
11/19/2013 19:30	.28	
11/19/2013 19:45	.28	
11/19/2013 20:00	.32	
11/19/2013 20:15	.28	
11/19/2013 20:30	.32	
11/19/2013 20:45	.28	
11/19/2013 21:00	.32	
11/19/2013 21:15	.36	
11/19/2013 21:30	.36	
11/19/2013 21:45	.4	
11/19/2013 22:00	.36	
11/19/2013 22:15	.36	
11/19/2013 22:30	.32	
11/19/2013 22:45	.28	
11/19/2013 23:00	.28	
11/19/2013 23:15	.32	
11/19/2013 23:30	.28	
11/19/2013 23:45	.24	
11/20/2013 00:00	.28	
11/20/2013 00:15	.24	
11/20/2013 00:30	.28	
11/20/2013 00:45	.24	
11/20/2013 01:00	.24	
11/20/2013 01:15	.28	
11/20/2013 01:30	.24	
11/20/2013 01:45	.28	
11/20/2013 02:00	.28	
11/20/2013 02:15	.24	
11/20/2013 02:30	.28	
11/20/2013 02:45	.24	
11/20/2013 03:00	.24	
11/20/2013 03:15	.24	
11/20/2013 03:30	.24	
11/20/2013 03:45	.24	
11/20/2013 04:00	.28	
11/20/2013 04:15	.24	
11/20/2013 04:30	.28	
11/20/2013 04:45	.24	
11/20/2013 05:00	.28	
11/20/2013 05:15	3.12	
11/20/2013 05:30	3.96	
11/20/2013 05:45	3.84	
11/20/2013 06:00	3.12	
11/20/2013 06:15	1.88	
11/20/2013 06:30	1.52	
11/20/2013 06:45	1.36	
11/20/2013 07:00	1.4	
11/20/2013 07:15	1.32	
11/20/2013 07:30	1.36	
11/20/2013 07:45	1.36	
11/20/2013 08:00	1.56	
11/20/2013 08:15	1.76	
11/20/2013 08:30	1.88	
11/20/2013 08:45	2.	
11/20/2013 09:00	1.48	
11/20/2013 09:15	1.28	
11/20/2013 09:30	.92	
11/20/2013 09:45	1.	
11/20/2013 10:00	1.28	
11/20/2013 10:15	1.44	
11/20/2013 10:30	1.36	
11/20/2013 10:45	1.24	
11/20/2013 11:00	1.12	
11/20/2013 11:15	.84	
11/20/2013 11:30	.44	
11/20/2013 11:45	.36	
11/20/2013 12:00	.44	
11/20/2013 12:15	1.04	
11/20/2013 12:30	1.64	
11/20/2013 12:45	2.04	
11/20/2013 13:00	1.48	
11/20/2013 13:15	.48	
11/20/2013 13:30	.4	
11/20/2013 13:45	.4	
11/20/2013 14:00	.36	
11/20/2013 14:15	.4	
11/20/2013 14:30	1.04	
11/20/2013 14:45	1.68	
11/20/2013 15:00	1.12	
11/20/2013 15:15	1.48	
11/20/2013 15:30	1.16	
11/20/2013 15:45	1.16	
11/20/2013 16:00	.84	
11/20/2013 16:15	.68	
11/20/2013 16:30	1.04	
11/20/2013 16:45	1.24	
11/20/2013 17:00	1.24	
11/20/2013 17:15	1.2	
11/20/2013 17:30	1.12	
11/20/2013 17:45	1.04	
11/20/2013 18:00	1.04	
