345 Park - Steam - Total		
Date/Time	MLbs/Hr	Status
12/01/2010 00:00	1.77	
12/01/2010 00:15	1.71	
12/01/2010 00:30	1.65	
12/01/2010 00:45	1.71	
12/01/2010 01:00	1.66	
12/01/2010 01:15	1.69	
12/01/2010 01:30	1.72	
12/01/2010 01:45	1.73	
12/01/2010 02:00	1.75	
12/01/2010 02:15	1.74	
12/01/2010 02:30	1.71	
12/01/2010 02:45	1.72	
12/01/2010 03:00	1.71	
12/01/2010 03:15	1.67	
12/01/2010 03:30	1.7	
12/01/2010 03:45	1.71	
12/01/2010 04:00	1.71	
12/01/2010 04:15	1.66	
12/01/2010 04:30	1.75	
12/01/2010 04:45	1.84	
12/01/2010 05:00	1.77	
12/01/2010 05:15	3.25	
12/01/2010 05:30	6.08	
12/01/2010 05:45	7.65	
12/01/2010 06:00	3.02	
12/01/2010 06:15	2.11	
12/01/2010 06:30	2.98	
12/01/2010 06:45	2.5	
12/01/2010 07:00	3.06	
12/01/2010 07:15	5.08	
12/01/2010 07:30	5.99	
12/01/2010 07:45	3.63	
12/01/2010 08:00	4.16	
12/01/2010 08:15	4.8	
12/01/2010 08:30	5.68	
12/01/2010 08:45	5.95	
12/01/2010 09:00	5.7	
12/01/2010 09:15	5.31	
12/01/2010 09:30	6.82	
12/01/2010 09:45	4.42	
12/01/2010 10:00	4.49	
12/01/2010 10:15	5.65	
12/01/2010 10:30	4.72	
12/01/2010 10:45	4.78	
12/01/2010 11:00	4.42	
12/01/2010 11:15	4.3	
12/01/2010 11:30	5.92	
12/01/2010 11:45	4.25	
12/01/2010 12:00	3.98	
12/01/2010 12:15	4.15	
12/01/2010 12:30	5.24	
12/01/2010 12:45	4.87	
12/01/2010 13:00	5.41	
12/01/2010 13:15	5.69	
12/01/2010 13:30	5.13	
12/01/2010 13:45	4.85	
12/01/2010 14:00	4.69	
12/01/2010 14:15	4.53	
12/01/2010 14:30	4.43	
12/01/2010 14:45	4.63	
12/01/2010 15:00	5.22	
12/01/2010 15:15	5.75	
12/01/2010 15:30	6.04	
12/01/2010 15:45	6.13	
12/01/2010 16:00	6.37	
12/01/2010 16:15	6.64	
12/01/2010 16:30	6.12	
12/01/2010 16:45	6.24	
12/01/2010 17:00	6.78	
12/01/2010 17:15	6.75	
