custID2	custName2	Textbox11	Textbox14	Group1	Textbox37	Textbox38	meternum	datetimeread	kwh	kw
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		12:15 AM	80	322
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		12:30 AM	84	328
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		12:45 AM	79	326
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:00 AM	82	322
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:15 AM	83	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:30 AM	81	328
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:45 AM	82	326
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:00 AM	82	328
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:15 AM	83	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:30 AM	82	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:45 AM	81	326
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:00 AM	82	326
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:15 AM	83	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:30 AM	80	326
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:45 AM	81	322
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:00 AM	81	324
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:15 AM	81	324
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:30 AM	82	326
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:45 AM	83	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:00 AM	82	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:15 AM	85	334
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:30 AM	84	338
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:45 AM	81	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:00 AM	84	330
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:15 AM	82	332
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:30 AM	86	336
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:45 AM	87	346
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:00 AM	90	354
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:15 AM	95	370
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:30 AM	100	390
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:45 AM	99	398
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		8:00 AM	103	404
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		8:15 AM	107	420
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		8:30 AM	109	432
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		8:45 AM	111	440
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		9:00 AM	116	454
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		9:15 AM	117	466
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		9:30 AM	118	470
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		9:45 AM	118	472
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		10:00 AM	119	474
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		10:15 AM	119	476
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		10:30 AM	116	470
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		10:45 AM	119	470
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		11:00 AM	115	468
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		11:15 AM	118	466
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		11:30 AM	115	466
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		11:45 AM	118	466
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		12:00 PM	113	462
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		12:15 PM	117	460
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		12:30 PM	117	468
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		12:45 PM	115	464
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:00 PM	117	464
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:15 PM	112	458
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:30 PM	116	456
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		1:45 PM	113	458
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:00 PM	115	456
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:15 PM	115	460
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:30 PM	117	464
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		2:45 PM	114	462
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:00 PM	114	456
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:15 PM	113	454
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:30 PM	117	460
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		3:45 PM	111	456
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:00 PM	109	440
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:15 PM	114	446
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:30 PM	112	452
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		4:45 PM	115	454
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:00 PM	117	464
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:15 PM	114	462
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:30 PM	113	454
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		5:45 PM	113	452
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:00 PM	112	450
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:15 PM	107	438
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:30 PM	105	424
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		6:45 PM	104	418
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:00 PM	103	414
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:15 PM	101	408
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:30 PM	102	406
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		7:45 PM	97	398
345P.NFL	THE NFL	kWh	KW	6/11/2012	19379	508		8:00 PM	100	394
