,nightTemp,mornTemp2,peak,superPeak,superIdx,preheatPeak,totalUsage,nightUsage,pumpTime,conEdPeak,conEdIdx,valid_days,winter_season,predUsage,predPeak,predSuper
1/2/11,46.83157895,48.86363636,8.86,2.46,9.5,2.41,70.6425,2.4035,0.25,2.43,9.75,FALSE,0,216.3745112,23.31199627,13.87123029
1/3/11,38.45384615,28.45,23.63,23.63,10,18.73,260.825,5.324,5.75,20.785,10.25,TRUE,0,332.7220947,25.58535051,25.22197354
1/4/11,31.725,31.175,23.65,23.48,7,23.65,311.2875,5.56,4.25,23.22,7.25,TRUE,0,678.9675937,27.58614713,25.089022
1/5/11,36.08333333,33.55,22.56,22.56,8.75,17.46,294.0675,5.539,5.25,19.685,9,TRUE,0,252.7844578,23.88332577,19.56473856
1/6/11,30.65,27.25,25.22,19.1,6.75,25.22,320.0675,5.709,5.5,18.465,10,FALSE,0,309.488772,22.83532479,20.5695624
1/7/11,30.95454545,30.59,23.85,23.85,6.5,20.71,323.78,4.1775,6.25,19.06,9.25,TRUE,0,322.26995,23.458,23.6955
1/8/11,26.45,25.275,18.39,16.21,10.25,4.43,216.9125,4.138,2.5,15.12,10.25,FALSE,0,566.6651251,35.44257218,33.40737842
1/9/11,27.04705882,26.55,10.76,6.94,10.25,3.84,119.585,3.7445,0.25,6.14,10.25,FALSE,0,547.4630365,32.15020817,29.15976958
1/10/11,26.75,25.275,25.2,23.87,6.5,25.2,336.065,9.8365,5.25,23.795,6.75,TRUE,0,359.8827666,27.863706,25.395826
1/11/11,27.49166667,23.775,24.7,24.7,6.5,20.39,350.7025,7.6795,6.25,21.925,6.75,TRUE,0,390.3271996,27.17242549,27.5060051
1/12/11,26.26285714,24.675,25.75,22.25,9.5,25.75,339.2075,7.41,5.5,21.105,9.5,TRUE,0,329.78425,28.27589994,24.17602498
1/13/11,25.19166667,24.1,31.52,24.5,9.25,31.52,344.1775,7.309,5.5,23.86,9.25,TRUE,0,342.3754073,25.84579956,21.9534862
1/14/11,19.49166667,19.225,34.83,23.52,9.5,34.83,364.78,7.9105,5.5,23.17,9.5,TRUE,0,500.1640776,33.28095249,31.78048054
1/15/11,25.13333333,25.525,19.9,19.9,9,4.44,258.735,5.729,0.5,18.295,9.25,FALSE,0,559.4141112,34.5537081,30.78992555
1/16/11,35.925,30.225,13.97,6.41,10.75,4.8,129.915,4.309,6.25,6.115,10.75,FALSE,0,326.2324357,23.89675554,24.83508941
1/17/11,26.025,19.9,24.83,24.48,6.25,24.83,330.275,7.8965,5,23.86,6.5,TRUE,0,416.3804965,28.4587062,23.72349244
1/18/11,25.46818182,30.15714286,23.89,23.89,6.5,19.97,342.395,7.5505,6.25,21.675,10,TRUE,0,390.0312758,27.21410375,27.23957975
1/19/11,36.955,36.75,18.44,16.69,6.5,16.33,303.5075,6.652,6.25,16.185,6.5,TRUE,0,300.1092203,18.39738201,18.16631273
1/20/11,35.71428571,31.45,27.03,19.44,9.75,27.03,292.56,6.62,5.5,18.575,10,TRUE,0,287.0080302,33.97234002,33.14236202
1/21/11,29.98333333,27.25454545,24.58,22.75,6.75,24.58,329.5875,6.812,5.25,20.35,7,TRUE,0,329.7835614,25.06822923,23.12915413
1/22/11,19.2,14,30.58,30.58,8.5,5.04,306.8175,4.776,23.75,28.455,8.75,FALSE,0,566.9162537,35.41961286,36.56092638
1/23/11,19.24166667,16.275,25.43,12.92,9.75,6.32,228.17,5.795,5.75,12.67,10.5,FALSE,0,518.1460249,34.21094466,33.39769499
1/24/11,12.83333333,6.6,32.72,32.72,7.75,25.38,510.25,22.685,4.5,28.285,8,TRUE,0,645.1049798,29.66075435,29.95025344
1/25/11,23.9,28.24,23.06,20.01,8.75,23.06,342.3075,6.96,5,19.06,9,TRUE,0,374.1368486,27.52744768,23.69541736
1/26/11,34.09166667,30.34285714,19.08,19.08,9,16.15,311.605,6.16,5.5,18.84,9,TRUE,0,421.3459742,26.40872967,25.37174616
1/27/11,30.74,30.34285714,22.32,20.05,6,22.32,308.9,6.0975,5.5,17.205,6.25,TRUE,0,309.4331387,22.32,20.0365
1/28/11,31.225,30.175,19.83,18.7,7,19.83,298.6125,5.637,5.25,18.505,7,TRUE,0,329.978899,22.91562625,19.17385761
1/29/11,31.53076923,30.225,19.77,19.77,9,5.12,211.5775,4.744,3.75,19.43,9.25,FALSE,0,692.337086,28.39652263,24.17848474
1/30/11,30.595,29.725,13.74,4.99,8.75,4.77,133.095,4.5945,2.5,4.975,8.75,FALSE,0,529.322457,25.60413793,23.97965238
1/31/11,28.86666667,22.725,27.54,24.59,8.25,27.54,321.7825,7.7725,5.5,23.095,8.25,TRUE,0,306.1685,34.4868,22.6898
2/1/11,25.88695652,27.34166667,27.05,24.51,6.5,27.05,338.9325,7.1165,5.5,19.925,6.75,TRUE,0,343.2768134,26.86774985,22.52792535
2/2/11,26.88095238,30.77777778,22.39,22.39,6,20.49,341.005,9.9225,5.75,19.77,6.25,TRUE,0,373.4904635,29.91721457,30.57003677
2/3/11,34.1,25.275,22.34,22.34,6.5,19.53,325.0575,7.0845,6.25,22.285,8.25,TRUE,0,356.0743956,22.90768081,23.0425234
2/4/11,27.99166667,23.825,27.25,27.25,6,16.09,321.27,7.3375,5.75,21.71,7,TRUE,0,339.7430127,23.10367111,22.94627833
2/5/11,32.44166667,33.42,23.58,18.69,9,5.1,218.1625,4.7745,4.5,17.05,9.25,FALSE,0,485.8362315,28.1948737,22.94153469
2/6/11,38.69545455,37.45,13.4,7,10,4.42,109.68,3.9125,5,6.68,10.25,FALSE,0,262.9202393,25.8793798,21.3801707
2/7/11,38.56666667,37,18.31,17.11,6.75,18.31,213.725,4.6965,4.25,16.84,7,TRUE,0,234.5675924,20.80144116,19.77693311
2/8/11,39.50434783,39.31111111,18.57,15.52,10,18.37,290.65,7.345,4.75,15.48,10,TRUE,0,262.3485544,23.26702079,19.65591513
2/9/11,20.1,15.6,26.32,26.32,6,24.42,392.51,10.8715,5.75,23.705,6.25,TRUE,0,489.3867761,34.24898766,33.36220863
2/10/11,27.98333333,24.55,25.42,23.12,6.25,25.42,364.2625,10.243,5.25,21.125,9,TRUE,0,345.2294377,25.16637833,23.31198555
2/11/11,22.39166667,21.725,25.02,25.02,6,19.57,357.7725,9.9325,5.75,22.12,8.25,TRUE,0,409.9610824,33.13485597,29.86332051
2/12/11,33.29166667,32.55,25.11,16.87,9,4.86,202.885,4.6315,3.5,15.695,9.25,FALSE,0,354.1010243,26.24814446,24.2228912
2/13/11,31.13333333,31.725,19.94,5.18,8,5.29,138.4575,5.0175,2.25,5.1,8,FALSE,0,543.4699361,23.36108741,22.55585124
2/14/11,44.45,46.725,24.57,18.19,6.5,24.57,166.5725,2.839,4.25,17.42,6.75,TRUE,0,183.2962577,23.84412067,15.48507551
2/15/11,38.65,26.3,28.38,22.94,7.75,14.58,252.465,6.871,1.5,22.25,8,TRUE,0,269.1310743,22.34303853,19.50541786
2/16/11,28.90833333,30,29.45,17.72,6.5,29.45,259.8475,6.5665,5.5,17.485,8.5,TRUE,0,304.76325,34.0358,22.5036
2/17/11,46.91666667,47.675,25.06,13.39,7.75,25.06,156.1725,1.325,5.25,12.82,8,TRUE,0,156.3688403,24.90117813,13.73495176
2/20/11,24.725,21.95,18.01,10.55,10.75,5.02,131.34,4.499,3.25,8.455,10.75,FALSE,0,472.5659288,30.255916,30.11742
2/21/11,34.19047619,30.08888889,20.68,18.81,9,14.1,283.4,6.7745,5.75,18.235,9,TRUE,0,354.8700379,22.39865348,22.06091478
2/22/11,23.90833333,17.325,28.49,28.49,6,22.51,384.94,9.7455,5.75,25.32,8.75,TRUE,0,367.1588898,30.9615001,27.10618446
2/23/11,26.93333333,21.95,30.08,23.46,6.75,30.08,317.6575,8.5775,5.5,22.435,6.75,TRUE,0,459.862358,33.01742299,33.73153891
2/24/11,33.75833333,32.75,32.66,19.73,6.75,32.66,284.69,6.845,5.5,17.9,7,TRUE,0,365.9932578,30.73587821,21.41078888
2/25/11,41.19615385,43.71666667,30.66,15.62,6.75,12.26,212.7325,4.9405,2.25,14.295,7,TRUE,0,218.5080029,26.60031614,16.09424373
2/26/11,35.10769231,30.9,20.41,15.37,8.75,4.95,192.8625,3.7755,2,15.045,9,FALSE,0,276.9746333,23.70558461,23.19384906
2/27/11,38.74615385,39.37142857,9.23,2.82,6.75,2.17,56.725,1.677,6.5,2.465,6.75,FALSE,0,241.8184084,21.22438378,20.81397009
2/28/11,42.75833333,42.9125,31,15.69,8,31,175.845,3.533,4.25,15.655,8,TRUE,0,175.935875,30.78228713,15.82311
3/1/11,44.4,33.55,22.24,22.24,7,19.13,229.225,3.586,4.75,20.89,7.25,TRUE,0,206.0856728,24.0217136,14.74758717
3/2/11,39.11666667,37,16.69,16.69,7.75,16.35,223.4375,3.8745,6.25,16.365,8,TRUE,0,263.4563824,24.61775836,22.88968358
3/3/11,28.99166667,20.45,38.47,24.89,6.75,38.47,330.11,7.6795,5.5,24.81,6.75,TRUE,0,297.70565,32.2733,21.6721
3/4/11,29.35833333,29.525,35,18.21,7,35,322.215,6.447,5.5,17.945,8,TRUE,0,262.9473768,29.5402,17.94888878
3/5/11,40.75333333,45.75,16.41,13.84,9.25,2.81,171.8125,2.7845,1,11.665,9.5,FALSE,0,167.6187475,18.49391967,11.9461919
3/6/11,51.80769231,51.38,8.08,2.18,10.75,1.91,77.775,1.92,6.5,2.09,6.75,FALSE,0,237.7856739,25.1592424,26.01311249
3/7/11,50.34,35.51428571,28.08,17.99,7.75,28.08,223.91,3.306,4.75,17.905,8.5,TRUE,0,234.254254,25.32330925,20.8001643
3/8/11,35.35,31.225,22.68,18.88,7.5,22.68,290.4475,5.9595,5.5,18.575,7.75,TRUE,0,291.4024843,25.90404608,22.94946229
3/9/11,36.99090909,35.25,18.31,18.31,6.25,13.8,284.68,6.5815,6,17.105,8.5,TRUE,0,301.1179671,18.3755274,18.74576164
3/10/11,38.77692308,42.325,16.09,16.09,7.5,10.57,260.275,4.8125,2.25,16.065,7.5,TRUE,0,270.2488093,19.01976581,19.28285112
3/11/11,50.63333333,48.575,14.28,14.28,6,5.9,206.8275,1.8035,5.75,13.335,9,TRUE,0,137.1013266,14.36350862,12.97006287
3/12/11,42,40.725,12.25,12.25,9,3.01,144.385,2.799,2.25,12.08,9.25,FALSE,0,238.4193379,29.88481458,17.91323735
