,nightTemp2,mornTemp2,peak,superPeak,superIdx,preheatPeak,totalUsage,nightUsage,pumpTime,conEdPeak,conEdIdx,valid_days,winter_season
12/16/11,57.30833333,47.75,19.19,15.69,9.25,5.36,158.4875,1.5685,5.75,14.855,9.5,TRUE,1
12/17/11,40.8,35.6,17.86,17.86,8.5,2.79,170.785,2.5455,5.25,17.22,8.75,FALSE,1
12/18/11,31.50833333,23.5,12.95,12.95,9.5,4.56,155.095,4.317,6.25,12.515,10.5,FALSE,1
12/19/11,29.45,32.775,26.94,21.41,8,26.94,316.6225,9.71,5.5,21.045,8,TRUE,1
12/20/11,46.39090909,45.5,17.77,17.48,8,16.5,265.5075,2.598,5.5,16.915,8,TRUE,1
12/21/11,43.1,49.78,18.98,12.85,8,18.98,213.9525,2.4565,5,12.5,8,TRUE,1
12/22/11,56.98235294,52,17.8,12.58,8,17.8,158.1925,1.6215,5.25,12.03,8.25,TRUE,1
12/23/11,48.2,46.02857143,28.75,14.53,9,28.75,194.6575,2.427,5.25,14.425,9.25,TRUE,1
12/24/11,36.40833333,30.225,23.15,23.15,8.75,3.88,210.2825,4.0155,2.5,22.995,9,FALSE,1
12/25/11,32.44166667,34.525,11.09,4.9,6.5,4.74,117.235,4.3105,1.5,4.845,6.75,FALSE,1
12/26/11,42.86666667,42,21.41,21.41,7,3.79,99.3625,4.2745,6,19.545,7.25,TRUE,1
12/27/11,39.78333333,41.5,19.91,19.91,7.75,18.14,215.1925,3.887,6.25,19.845,8,TRUE,1
12/28/11,53.19047619,42.825,16.8,13.4,8,9.6,214.535,4.2,1.75,13.3,8.25,TRUE,1
12/29/11,31.34166667,25.05,22.4,22.4,7.5,20.2,310.7,6.43,5.25,22.1,7.5,TRUE,1
12/30/11,37.61666667,40.225,20.2,19.4,7.25,10.4,299.3,5.51,6.5,18.6,7.5,TRUE,1
12/31/11,48.81666667,49.725,14.8,13.6,8.75,2.6,160.65,2.42,0.75,13.3,8.75,FALSE,1
1/1/12,47.16666667,44.325,9.8,9.8,10.75,2.6,73.9,2.46,23.75,6.3,10.75,FALSE,1
1/2/12,47.625,37.475,10.4,10.2,7.25,10.4,129.35,1.97,5.25,9.9,7.5,TRUE,1
1/3/12,33.425,27.5,25,22.2,6,21.4,314.9,8.6,5.75,21.4,9.75,TRUE,1
1/4/12,16.65,13.26666667,41.2,32.8,6.25,41.2,500.4,10.01,5.25,32.2,6.25,TRUE,1
1/5/12,27.25833333,29.175,26.2,23,8.5,25,380.4,12.1,4.75,21.4,8.75,TRUE,1
1/6/12,36.71818182,38.725,19,19,8.75,13.6,287.1,6.47,2.25,18.5,8.75,TRUE,1
1/7/12,50.18333333,48.225,16.6,16.6,8.5,2.4,150.5,2.29,1.5,16.4,8.5,FALSE,1
1/8/12,49.33333333,41.55,7.2,4,7.5,1.8,58.6,1.68,23.75,3.9,7.75,FALSE,1
1/9/12,34.15833333,32.5,27.6,18.2,8,27.6,265.0375,7.16,5,18.1,8,TRUE,1
1/10/12,36.9,34.55,29.4,16.8,8,19.4,296.2,10.39,3.5,16.8,8.25,TRUE,1
1/11/12,41.26363636,39.225,16.4,16.4,8.75,16.2,264.9,7.18,4.25,16.3,9,TRUE,1
1/12/12,43.22380952,43.72,20,16.8,7.5,20,250.15,4.63,5.25,16.4,7.75,TRUE,1
1/13/12,43.08636364,45.95,25.6,16.8,10.75,8.4,266.45,5.59,2.5,16.6,10,TRUE,1
1/14/12,28.45,28.675,27.8,27.8,8.75,5.2,269.8,5.28,3.25,27.5,9,FALSE,1
1/15/12,26.65833333,15.825,18.6,9.8,7.5,6,188.5,5.69,5.75,8.8,7.75,FALSE,1
1/16/12,18.06666667,16.975,32.2,32.2,7,31.6,443.4,10.91,6.5,32.1,7,TRUE,1
1/17/12,36.39333333,37.91666667,24.2,18.8,8.25,6.6,377.78,9.26,6,17.8,8.5,TRUE,1
1/18/12,49.91666667,39.95,26.8,18.4,8.25,26.8,282.2,3.6,5.25,18.1,8.5,TRUE,1
1/19/12,24.99166667,20.95,22.8,22.8,7.5,9.2,386.05,10.65,6.5,22.5,7.75,TRUE,1
1/20/12,35.60833333,27.5,21.8,21.8,7.5,12.4,364.7,8.98,6,21.7,7.75,TRUE,1
1/21/12,26.67058824,23.87,30.2,30.2,9.25,6,327.7,5.65,3.25,29.6,9.5,FALSE,1
1/22/12,23.22307692,18.975,19.8,19.8,9.75,7.4,217.7,6.96,0.25,19.7,10,FALSE,1
1/23/12,34.03125,35.58,20.4,20.4,7,16.6,331.45,8.65,0.25,20.3,7.25,TRUE,1
1/24/12,50.436,44.48571429,20.8,14.8,8,20.8,199.8,2.22,5,14.7,8.25,TRUE,1
