,avgTemp,preheatTime,peakDemand
3/14/13,38.49285714,4:00,26.89275932
1/4/11,31.60714286,4:15,23.65
2/7/11,38.2,4:15,18.57
2/14/11,44.67142857,4:15,24.57
2/28/11,42.3875,4:15,31
3/6/13,40.44375,4:15,24.3923378
3/15/11,38.78571429,4:30,25.19
3/30/12,44.45,4:30,27.2640934
2/8/11,39.51111111,4:45,20.64
3/7/11,48.76,4:45,28.08
3/30/11,40.27857143,4:45,22.59
3/31/11,43.32857143,4:45,33.44
2/2/12,-620.04,4:45,18.59812355
1/17/11,25.15,5:00,24.83
1/25/11,24.4125,5:00,23.06
3/21/11,40.71333333,5:00,22.32
12/2/11,43.41428571,5:00,28.88
12/8/11,42.79,5:00,26.48
12/21/11,43.55714286,5:00,18.98
1/24/12,49.50666667,5:00,20.7563076
1/25/12,42.85384615,5:00,29.95736122
1/30/12,38.9,5:00,21.51587105
12/3/12,49.84285714,5:00,25.35461044
12/7/12,-590.3875,5:00,34.63341522
12/13/12,38.94285714,5:00,32.57924271
12/14/12,38.97142857,5:00,25.41167068
12/24/12,36.99285714,5:00,37.53207016
1/4/13,31.29285714,5:00,29.11546516
1/8/13,38.40714286,5:00,30.60760307
2/27/13,37.39655172,5:00,26.96505928
3/25/13,39.95714286,5:00,33.07644653
3/26/13,37.48125,5:00,26.75050163
1/10/11,26.5,5:15,25.2
1/21/11,29.4826087,5:15,24.58
1/28/11,30.89285714,5:15,19.83
2/10/11,27.63571429,5:15,25.42
2/17/11,46.91428571,5:15,25.06
3/28/11,32.70714286,5:15,24.33
12/22/11,56.45789474,5:15,17.8
12/23/11,47.86666667,5:15,28.75
1/12/12,43.53214286,5:15,19.48332787
1/16/12,17.75714286,5:15,33.17925262
1/18/12,48.70714286,5:15,26.28825951
1/27/12,41.34193548,5:15,21.89167786
2/1/12,53.57857143,5:15,12.79669857
2/7/12,43.41428571,5:15,20.18156624
2/8/12,37.72857143,5:15,20.76217842
2/15/12,41.71428571,5:15,17.02922821
2/22/12,45.22857143,5:15,16.79673195
3/5/12,35.72857143,5:15,20.2129097
3/7/12,38.86428571,5:15,25.52776337
12/4/12,50.47777778,5:15,21.51461792
12/12/12,39.95,5:15,33.94895554
12/19/12,44.75333333,5:15,37.16717911
12/26/12,32.73125,5:15,31.57005692
12/28/12,31.28947368,5:15,39.21719742
12/31/12,28.97142857,5:15,25.7226696
1/7/13,40.33571429,5:15,35.5870285
1/15/13,40.50714286,5:15,34.88973999
1/16/13,34.55625,5:15,31.60533333
1/22/13,-642.1,5:15,33.60455322
1/23/13,13.68571429,5:15,37.84020996
1/28/13,30.65714286,5:15,24.30556679
1/29/13,36.175,5:15,22.9073143
3/13/13,48.395,5:15,22.80292892
3/19/13,32.59444444,5:15,24.33017349
1/12/11,26.01463415,5:30,25.75
1/13/11,25.03571429,5:30,31.52
1/14/11,19.42142857,5:30,34.83
1/20/11,35.1125,5:30,27.03
1/27/11,30.6137931,5:30,22.32
1/31/11,27.95,5:30,27.54
2/1/11,26.03103448,5:30,27.05
2/16/11,28.77857143,5:30,29.45
2/23/11,26.21428571,5:30,30.08
2/24/11,33.28571429,5:30,32.66
3/3/11,27.77142857,5:30,38.47
3/4/11,29.09285714,5:30,35
3/8/11,34.58571429,5:30,22.68
12/1/11,42.25,5:30,19.36
12/6/11,54.13125,5:30,16.47
12/12/11,35.51428571,5:30,25.11
12/15/11,47.5,5:30,18.14
12/19/11,29.89285714,5:30,26.94
2/28/12,46.20666667,5:30,20.80580521
2/29/12,40.74,5:30,23.66830635
3/8/12,55.64285714,5:30,14.30550575
3/12/12,51.58666667,5:30,20.02136612
3/13/12,59.73571429,5:30,8.859647751
3/16/12,44.34666667,5:30,14.14775944
12/6/12,35.07142857,5:30,25.5858326
12/17/12,41.91,5:30,25.02213669
1/17/13,37.17058824,5:30,31.52290344
2/13/13,36.72142857,5:30,24.42674446
2/19/13,34.18571429,5:30,28.79763031
3/5/13,33.24285714,5:30,24.98779678
3/27/13,41.77142857,5:30,26.04368591
