buildingRoute,BMSPointName,Master,Controller,PointName,System,System display name,Description,Units,Sample
Rudin345Park\\BCX34th\\MainChilledWater,AirCompLowPress,BCX34th,MainChilledWater,ACLowPressure,Misc,Miscellaneous,Air Compressor Low Pressure Alarm,None,Off
Rudin345Park\\BCX34th\\MiscPts34th,CH1ReturnTemp,BCX34th,MiscPts34th,CH1ReturnTemp,MCW,Main Chilled Water,Chiller1 CHW Return Temp,Fahrenheit,56.9
Rudin345Park\\BCX34th\\MiscPts34th,CH1SupplyTemp,BCX34th,MiscPts34th,CH1SupplyTemp,MCW,Main Chilled Water,Chiller1 CHW Supply Temp,Fahrenheit,45.9
Rudin345Park\\BCX34th\\MiscPts34th,CH2ReturnTemp,BCX34th,MiscPts34th,CH2ReturnTemp,MCW,Main Chilled Water,Chiller2 CHW Return Temp,Fahrenheit,56.9
Rudin345Park\\BCX34th\\MiscPts34th,CH2SupplyTemp,BCX34th,MiscPts34th,CH2SupplyTemp,MCW,Main Chilled Water,Chiller2 CHW Supply Temp,Fahrenheit,40.8
Rudin345Park\\BCXCellar\\InteriorReheatC,CHWDiffPress,BCXCellar,InteriorReheatC,CHWDIffPressC,CWIntRH,Level C Internal Water Reheat,CHW Differential Pressure C,PSI,100
Rudin345Park\\BCX34th\\MainChilledWater,CHWDiffPress34,BCX34th,MainChilledWater,CHWDIffPress34,MCW,Main Chilled Water,CHW Differential Pressure 34,PSI,20.8
Rudin345Park\\BCX9th\\InteriorReheat9,CHWDiffPress9,BCX9th,InteriorReheat9,CHWDIffPress9,9WIntRH,Floor 9 Internal Water Reheat,CHW Differential Pressure 9,PSI,22.8
Rudin345Park\\BCXCellar\\InteriorFanS_18,CHWDiffPressCLev,BCXCellar,InteriorFanS_18,CHWDIffPressC,S18,Supply Fan 18,CHW Differential Pressure C,PSI,0.8
Rudin345Park\\BCX34th\\MainCoolingTower,CHWDiffPressRoof,BCX34th,MainCoolingTower,CHWDIffPressR,MCW,Main Chilled Water,CHW Differential Pressure Roof,PSI,11.2
Rudin345Park\\BCX34th\\MainCoolingTower,CWReturnTemp,BCX34th,MainCoolingTower,CWReturnTemp,MCW,Main Chilled Water,Condenser Water Return Temp Main CT,Fahrenheit,89.6
Rudin345Park\\BCX34th\\TenantCT2,CWReturnTemp,BCX34th,TenantCT2,CWReturnTemp,TCT2,Tenant Cooling Tower 2,Condenser Water Return Temp Tenant CT2,Fahrenheit,80.2
Rudin345Park\\BCX34th\\TenantCT1,CWReturnTemp,BCX34th,TenantCT1,CWReturnTemp,TCT1,Tenant Cooling Tower 1,Condenser Water Return Temp Tenant CT1,Fahrenheit,82.2
Rudin345Park\\BCX34th\\TenantCT1,CWSupplyTemp,BCX34th,TenantCT1,CWSupplyTemp,TCT1,Tenant Cooling Tower 1,Condenser Water Supply Temp Tenant CT2,Fahrenheit,78.6
Rudin345Park\\BCX34th\\TenantCT2,CWSupplyTemp,BCX34th,TenantCT2,CWSupplyTemp,TCT2,Tenant Cooling Tower 2,Condenser Water Supply Temp Tenant CT2,Fahrenheit,77.7
Rudin345Park\\BCX34th\\MainCoolingTower,CWSupplyTemp,BCX34th,MainCoolingTower,CWSupplyTemp,MCW,Main Chilled Water,Condenser Water Supply Temp Main CT,Fahrenheit,79.4
Rudin345Park\\BCX34th\\MiscPtsRoof,DHWHighTemp1,BCX34th,MiscPtsRoof,DHWTempR1,Water,Building Water,Domestic Hot Water High Temp 1 Roof,None,Off
Rudin345Park\\BCX34th\\MiscPtsRoof,DHWHighTemp2,BCX34th,MiscPtsRoof,DHWTempR2,Water,Building Water,Domestic Hot Water High Temp 2 Roof,None,Off
Rudin345Park\\BCX34th\\MainChilledWater,DHWHighTempEast,BCX34th,MainChilledWater,DHWTemp34^E,MCW,Main Chilled Water,Domestic Hot Water High Temp East 34th Fl,None,Off
Rudin345Park\\BCX9th\\MiscPts9thFl,DHWHighTempEast,BCX9th,MiscPts9thFl,DHWTemp9^E,Water,Building Water,Domestic Hot Water High Temp East 9th Fl,None,Off
Rudin345Park\\BCXCellar\\MCC.West1,DHWHighTempNorth,BCXCellar,MCC.West1,DHWTempC^N,Water,Building Water,Domestic Hot Water High Temp North C Level,None,Off
Rudin345Park\\BCXCellar\\MCC.West1,DHWHighTempSouth,BCXCellar,MCC.West1,DHWTempC^S,Water,Building Water,Domestic Hot Water High Temp South C Level,None,Off
Rudin345Park\\BCX9th\\MiscPts9thFl,DHWHighTempWest,BCX9th,MiscPts9thFl,DHWTemp9^W,Water,Building Water,Domestic Hot Water High Temp West 9th Fl,None,Off
Rudin345Park\\BCX34th\\MainChilledWater,DHWHighTempWest,BCX34th,MainChilledWater,DHWTemp34^W,Water,Building Water,Domestic Hot Water High Temp West 34th Floor,None,Off
Rudin345Park\\BCXCellar\\MCC.West1,EjectorPitHigh,BCXCellar,MCC.West1,EjectorPitHigh,Misc,Miscellaneous,Ejector Pit High Level C Level,None,Off
Rudin345Park\\BCX34th\\TenantCT1,HighLevel.CT1,BCX34th,TenantCT1,HighLevel,TCT1,Tenant Cooling Tower 1,High Water Level Tenant CT1,None,Off
Rudin345Park\\BCX34th\\TenantCT2,HighLevel.CT2.1,BCX34th,TenantCT2,HighLevel,TCT2,Tenant Cooling Tower 2,High Water Level Tenant CT2,None,Off
Rudin345Park\\BCXCellar\\MCC.West2,HouseTankHi34,BCXCellar,MCC.West2,HouseTank34High,Water,Building Water,High Water Level House Tank 34th Floor,None,Off
Rudin345Park\\BCXCellar\\MCC.West2,HouseTankHi45,BCXCellar,MCC.West2,HouseTank45High,Water,Building Water,High Water Level House Tank 45th Floor,None,Off
Rudin345Park\\BCXCellar\\MCC.West2,HouseTankHi9,BCXCellar,MCC.West2,HouseTank9High,Water,Building Water,High Water Level House Tank 9th Floor,None,Off
Rudin345Park\\BCXCellar\\MCC.West2,HouseTankLo34,BCXCellar,MCC.West2,HouseTank34Low,Water,Building Water,Low Water Level House Tank 34th Floor,None,Off
Rudin345Park\\BCXCellar\\MCC.West2,HouseTankLo45,BCXCellar,MCC.West2,HouseTank45Low,Water,Building Water,Low Water Level House Tank 45th Floor,None,Off
Rudin345Park\\BCXCellar\\MCC.West2,HouseTankLo9,BCXCellar,MCC.West2,HouseTank9Low,Water,Building Water,Low Water Level House Tank 9th Floor,None,Off
Rudin345Park\\BCXCellar\\PerimeterHeating,HWSupplyTemp,BCXCellar,PerimeterHeating,HWSupplyTempC^Per,Water,Building Water,Hot Water Supply Temp Perimter C Level,Fahrenheit,98.6
Rudin345Park\\BCX9th\\InteriorReheat9,HWSupplyTemp,BCX9th,InteriorReheat9,HWSupplyTemp9^Int,Water,Building Water,Hot Water Supply Temp Interior 9th Floor,Fahrenheit,100
Rudin345Park\\BCXCellar\\InteriorReheatC,HWSupplyTemp,BCXCellar,InteriorReheatC,HWSupplyTempC^Int,Water,Building Water,Hot Water Supply Temp Interior C Level,Fahrenheit,82.8
Rudin345Park\\BCX34th\\InteriorReheat34,HWSupplyTemp,BCX34th,InteriorReheat34,HWSupplyTemp34^Int,Water,Building Water,Hot Water Supply Temp Interior 34th Floor,Fahrenheit,65.6
Rudin345Park\\BCX34th\\TenantCT1,LowLevel.CT1,BCX34th,TenantCT1,LowWaterLevel,TCT1,Tenant Cooling Tower 1,Low Water Level Tenant CT1,None,Off
Rudin345Park\\BCX34th\\TenantCT2,LowLevel.CT2.1,BCX34th,TenantCT2,LowWaterLevel,TCT2,Tenant Cooling Tower 2,Low Water Level Tenant CT2,None,Off
Rudin345Park\\BCX34th\\NWSecWater,NWReturnTemp,BCX34th,NWSecWater,SWaterSupplyTemp34^NW,34NW2WS,Floor 34 NorthWest Secondary Water System ,NW Secondary Water Return Temp 34th Floor,Fahrenheit,58.8
Rudin345Park\\BCX9th\\NWSecWater9th,NWReturnTemp,BCX9th,NWSecWater9th,SWaterSupplyTemp9^NW,9NW2WS,Floor 9 NorthWest Secondary Water System ,NW Secondary Water Return Temp 9th Floor,Fahrenheit,58.2
Rudin345Park\\BCX9th\\NWSecWater9th,NWSupplyTemp,BCX9th,NWSecWater9th,SWaterSupplyTemp9^NW,9NW2WS,Floor 9 NorthWest Secondary Water System ,NW Secondary Water Supply Temp 9th Floor,Fahrenheit,56.5
Rudin345Park\\BCX34th\\NWSecWater,NWSupplyTemp,BCX34th,NWSecWater,SWaterSupplyTemp34^NW,34NW2WS,Floor 34 NorthWest Secondary Water System ,NW Secondary Water Return Temp 34th Floor,Fahrenheit,55.7
Rudin345Park\\BCX34th\\TenantCT1,OAH_East,BCX34th,TenantCT1,Humidity^E,OA,Outdoor Air,Outdoor Air Humidity East,%RH,49.10%
Rudin345Park\\BCX34th\\TenantCT2,OAH_West,BCX34th,TenantCT2,Humidity^W,OA,Outdoor Air,Outdoor Air Humidity West,%RH,39.30%
Rudin345Park\\BCX34th\\TenantCT1,OAT_East,BCX34th,TenantCT1,Temp^E,OA,Outdoor Air,Outdoor Air Temp East,Fahrenheit,83.1
Rudin345Park\\BCX34th\\TenantCT2,OAT_West,BCX34th,TenantCT2,Temp^W,OA,Outdoor Air,Outdoor Air Temp West,Fahrenheit,83.8
