345 Park #05 Lex Trnstle 01,403,In
345 Park #05 Lex Trnstle 02,287,In
345 Park #05 Lex Trnstle 03,493,In
345 Park #05 Lex Trnstle 04,358,In
345 Park #05 Lex Gate 01,20,In
345 Park #05 Park Trnstle 01,1311,In
345 Park #05 Park Trnstle 02,392,In
345 Park #05 Park Trnstle 03,22,In
345 Park #05 Park Trnstle 04,107,In
345 Park #05 Park Trnstle 05,19,In
345 Park #05 Park Gate 01,79,In
345 Park #05 51St Trnstle 01,101,In
345 Park #05 51St Trnstle 02,218,In
345 Park #05 51St Trnstle 03,368,In
345 Park #05 51St Trnstle 04,108,In
345 Park #05 51St Trnstle 05,247,In
345 Park #05 51St Trnstle 06,199,In
345 Park #05 51St Trnstle 07,151,In
345 Park #05 51St Trnstle 08,206,In
345 Park #05 51St Trnstle 09,178,In
345 Park #05 51St Gate 01,8,In
345 Park #05 51St Gate 02,8,In
345 Park #05 51St Gate 03,0,In
345 Park #05 Upper Lex Trnstle 01,1632,In
345 Park #05 Upper Lex Trnstle 03,1820,In
345 Park #05 Upper Lex Trnstle 04,839,In
345 Park #05 Upper Lex Gate 01,207,In
345 Park #05 51St Trnstle 10,77,In
345 Park #05 51St Trnstle 11,340,In
345 Park #05 51St Trnstle 12,457,In
345 Park #05 51St Gate 04,12,In
345 Park #05 Upper Lex Trnstle 02,1592,In
Istar23 345 Park Upper Lex TS04 Out,457,Out
Istar23 345 Park Upper Lex TS03 Out,389,Out
Istar23 345 Park Upper Lex TS02 Out,220,Out
Istar23 345 Park Upper Lex TS01 Out,125,Out
Istar23 345 Park Park Ave TS01 Out,227,Out
Istar23 345 Park Park Ave TS04 Out,156,Out
Istar23 345 Park Park Ave TS03 Out,180,Out
Istar23 345 Park Park Ave TS05 Out,35,Out
Istar23 345 Park Park Ave TS02 Out,55,Out
Istar23 345 Park Lex TS04 Out,162,Out
Istar23 345 Park Lex TS03 Out,372,Out
Istar23 345 Park Lex TS02 Out,185,Out
Istar23 345 Park Lex TS01Out,336,Out
Istar23 345 Park 51st St TS07 Out,38,Out
Istar23 345 Park 51st St TS08 Out,328,Out
Istar23 345 Park 51st ST TS09 Out,504,Out
Istar23 345 Park 51st St TS06 Out,598,Out
Istar23 345 Park 51st St TS04 Out,101,Out
Istar23 345 Park 51st St TS05 Out,390,Out
Istar23 345 Park 51st St TS01 Out,109,Out
Istar23 345 Park 51st St TS03 Out,533,Out
Istar23 345 Park 51st St TS02 Out,438,Out
Istar23 345 Park 51st St TS10 Out,105,Out
Istar23 345 Park 51st St TS11 Out,499,Out
Istar23 345 Park 51st St TS12 Out,535,Out
istar15 rex 01,0,In
istar15 rex 02,0,In
istar15 rex 03,0,In
istar15 rex 04,0,In
Istar21 Rex01,172,In
Istar24 Rex01,199,In
