560 Lex #07 Trnstle 01,105,In
560 Lex #07 Trnstle 02,359,In
560 Lex #07 Trnstle 03,93,In
560 Lex #07 Trnstle 06,481,In
560 Lex #07 Trnstle 05,355,In
560 Lex #07 Trnstle 04,167,In
560 Lex #07 Gate 01,0,In
560 Lex #07 Gate 02,0,In
Istar10 560 Lex Lane 01 Out,109,Out
Istar10 560 Lex Lane 02 Out,236,Out
Istar10 560 Lex Lane 03 Out,42,Out
Istar10 560 Lex Lane 04 Out,163,Out
Istar10 560 Lex Lane 05 Out,448,Out
Istar10 560 Lex Lane 06 Out,159,Out
Istar10 Rex01,0,In
Istar10 Rex04,0,In
Istar10 Rex09,154,In
Istar10 Rex12,0,In
